rut;usuario;correo;nombre;profesor;i1;f1;t1;r1;p1;s1;l1;i2;f2;t2;r2;p2;s2;l2;i3;f3;t3;r3;p3;s3;l3;i4;f4;t4;r4;p4;s4;l4;i5;f5;t5;r5;p5;s5;l5;i6;f6;t6;r6;p6;s6;l6;op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa2;sol1;sol2;sol3;sol4;tarea1;tarea2;controles;np;examen;final;estado
446;*;*;*;*;63.96123933;171.5177177;107.5564784;2;4;[3 3 3 3 3 3 0 0 ] [2 2 3 ];11;171.5343837;296.6916393;125.1572556;4;10;[2 3 3 3 3 3 ] [1 1 1 1 ];10;296.7082723;510.356962;213.6486897;2;20;[3 0 0 0 0 0 2 3 1 3 3 3 ] [3 0 0 2 ];16;510.373724;568.0965153;57.7227913;2;18;[2 2 2 2 0 0 2 2 ] [3 3 ];10;568.1131993;613.8412263;45.728027;2;4;[1 2 2 2 2 2 ] [3 3 ];8;613.8576903;653.1391877;39.2814974;1;5;[2 2 0 0 2 2 ] [1 1 1 1 ];10;0;1;1;1;1;1;1;1;1;1;1;1;65;589.0947394;61;16.04008362;4;3;1;3;3;INGENIERIA EN COMPUTACION E INFORMATICA;4.2;1;1;4.2;1;1;1;1.8;1;1.6;R
196;*;*;*;*;166.8274963;235.2885357;68.4610394;2;9;[3 0 0 3 ] [2 2 2 ];7;235.3050797;281.2228247;45.917745;1;6;[2 3 3 3 3 3 ] [1 1 1 1 ];10;281.2406817;420.0584457;138.817764;1;13;[3 0 0 0 0 0 2 3 1 1 0 3 3 3 3 1 1 ] [3 ];18;420.0751067;529.1882133;109.1131066;2;7;[2 2 0 0 2 2 2 2 2 ] [3 ];10;529.2042503;578.1707033;48.966453;1;4;[1 2 2 1 1 1 ] [1 1 3 3 3 3 3 ];13;578.1873683;749.527971;171.3406027;2;13;[2 2 0 0 1 1 0 0 0 0 2 ] [1 1 3 3 2 ];16;1;1;0;1;0;0;1;1;0;1;1;0;74;582.6167107;52;16.86018709;5;4;2;1;2;INGENIERIA CIVIL INFORMATICA;4.6;4.7;1;3.4;1;1;1.9;2.3;1;1.9;R
278;*;*;*;*;142.1109187;230.457629;88.3467103;1;5;[0 0 3 0 1 ] [2 2 2 2 ];9;230.474276;380.877083;150.402807;1;7;[3 3 3 3 3 2 3 2 2 2 2 2 3 2 3 3 3 3 0 0 0 0 ] [3 3 0 0 2 2 ];28;380.893696;720.378179;339.484483;2;10;[3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 ] [3 0 0 2 0 0 3 3 3 3 ];25;720.394541;837.713284;117.318743;2;5;[2 2 2 2 2 2 2 2 0 0 2 ] [];11;837.729665;933.236152;95.506487;1;4;[1 2 2 1 1 0 0 ] [1 1 3 3 3 3 3 3 2 0 0 ];18;933.252817;1118.259328;185.006511;2;6;[2 2 0 0 2 2 2 ] [2 2 2 2 1 1 1 1 3 3 3 ];18;0;0;0;0;0;0;1;0;0;1;0;0;109;976.0657413;37;25.31421649;5;4;3;0;0;INGENIERIA CIVIL INFORMATICA;1;6.1;1;2.7;1.3;1;1.6;1.95;1.9;1.9;R
323;*;*;*;*;121.8784633;191.0423647;69.1639014;1;1;[2 3 3 3 0 ] [2 2 2 1 ];9;191.0590307;229.5241627;38.465132;1;7;[2 3 3 3 3 3 ] [1 1 1 1 ];10;229.5408287;282.6553733;53.1145446;1;12;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;282.6720393;321.2204973;38.548458;1;3;[2 2 0 0 2 2 ] [3 3 3 3 ];10;321.2371633;349.6693593;28.432196;1;2;[1 2 2 2 ] [3 3 3 3 ];8;349.6860253;410.638116;60.9520907;2;9;[2 2 0 0 2 ] [1 1 1 1 3 ];10;0;1;1;1;1;1;1;1;1;1;1;1;63;288.6763227;34;11.16842614;7;3;4;2;1;INGENIERIA EN COMPUTACION E INFORMATICA;4.2;1;2.9;2.7;1;1;1.6;1.91;2;1.9;R
51;*;*;*;*;37.28498867;167.64094;130.3559513;1;14;[2 3 3 3 3 0 2 2 ] [2 2 2 2 1 ];13;167.657612;229.260449;61.602837;1;4;[2 3 3 3 3 3 3 ] [1 1 1 1 3 ];12;229.276898;594.8094707;365.5325727;2;13;[3 0 0 0 0 0 2 3 1 3 3 3 3 1 1 2 ] [];16;594.8261127;639.428048;44.6019353;1;5;[2 2 0 0 2 2 2 2 2 2 ] [];10;639.461379;671.3461137;31.8847347;1;5;[1 2 2 2 2 2 2 2 ] [];8;671.3628507;714.1981127;42.835262;1;6;[2 2 3 3 0 0 2 2 2 2 0 0 0 0 ] [];14;0;0;1;1;1;0;1;1;1;1;1;1;73;676.813293;47;17.30333661;8;5;3;3;3;INGENIERIA INDUSTRIAL;4.6;2.1;1;2.6;4.1;1;2.1;2.36;1;2;R
166;*;*;*;*;80.94270967;166.424172;85.48146233;1;8;[0 0 3 3 3 3 1 0 ] [2 ];9;166.440798;239.8019173;73.3611193;1;16;[3 3 3 2 2 2 3 3 3 3 0 0 0 0 ] [];14;239.8185433;398.0449563;158.226413;2;52;[3 0 0 0 0 0 2 3 1 1 1 1 1 3 3 3 3 3 3 3 0 0 0 0 0 0 2 2 2 2 1 1 2 3 3 1 1 2 ] [];38;398.0615823;464.9874363;66.925854;2;25;[2 2 2 2 0 0 2 2 2 2 ] [];10;465.0040623;513.1739393;48.169877;1;3;[1 2 2 2 2 2 2 2 ] [];8;513.1905653;544.0677073;30.877142;1;5;[2 2 0 0 2 2 0 0 0 0 ] [];10;0;0;0;1;1;1;1;1;0;1;1;1;89;463.0418676;109;21.5891657;3;2;2;0;0;INGENIERIA EN COMPUTACION E INFORMATICA;4.3;1;1;2.1;6.9;1;1;2.43;1;2;R
81;*;*;*;*;19.26415967;418.6551227;399.390963;5;28;[3 3 0 ] [2 2 1 2 ];7;418.6720177;473.8612567;55.189239;1;2;[2 3 3 3 3 3 ] [1 1 1 1 ];10;473.8779047;590.722249;116.8443443;1;5;[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;590.739129;653.110467;62.371338;1;3;[2 2 0 0 0 2 2 ] [3 3 3 3 ];11;653.127166;707.88341;54.756244;1;3;[1 2 2 3 ] [3 3 3 3 3 3 ];10;707.899995;779.186192;71.286197;2;6;[2 2 0 0 ] [1 1 1 1 3 3 ];10;1;1;1;0;0;1;1;1;1;1;1;1;64;759.8383253;47;16.67033748;8;5;3;3;3;INGENIERIA INDUSTRIAL;5;5.3;1;3.8;1;1;3;2.58;1;2.1;R
266;*;*;*;*;24.407255;223.0410577;198.6338027;3;5;[3 3 3 0 ] [2 2 1 ];7;223.0743727;339.8136187;116.739246;2;6;[2 3 3 3 3 3 3 0 ] [1 1 1 1 3 ];13;339.8296927;611.646005;271.8163123;2;16;[3 0 0 0 0 0 2 1 1 1 1 1 3 1 1 1 1 1 3 3 3 3 1 3 3 3 0 ] [3 0 0 0 2 0 0 3 3 3 3 1 1 1 1 1 ];43;611.661835;749.7419463;138.0801113;1;3;[2 2 0 0 0 2 2 2 1 1 2 2 0 ] [1 1 3 3 2 0 ];19;749.7592553;844.7194663;94.960211;1;4;[1 2 2 1 1 3 ] [1 1 1 3 3 3 3 3 3 0 0 ];17;844.7353943;916.474648;71.7392537;1;3;[2 2 0 0 2 2 0 0 3 ] [1 1 3 ];12;1;0;0;0;0;0;1;1;0;0;0;1;111;891.968937;37;24.82148856;7;5;2;3;3;INGENIERIA EN COMPUTACION E INFORMATICA;2.8;1;1;1.6;7;1;1;2.2;1.7;2.1;R
381;*;*;*;*;75.30093667;189.5678613;114.2669246;4;8;[3 3 3 3 3 3 ] [1 1 ];8;189.5844883;504.5088227;314.9243344;9;17;[2 ] [1 1 1 1 2 2 2 2 2 ];10;504.5254237;591.649238;87.1238143;1;3;[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 2 0 ];17;591.665912;655.710018;64.044106;1;3;[2 2 0 0 2 2 3 ] [3 3 3 3 3 ];12;655.726645;745.64874;89.922095;1;8;[1 2 2 1 1 ] [1 1 3 3 3 3 3 0 1 ];14;745.665436;790.676162;45.010726;1;2;[0 0 0 0 ] [1 1 3 3 3 3 3 ];11;0;1;0;0;0;0;1;1;0;1;1;1;72;715.2920003;41;17.14761769;4;3;3;0;1;INGENIERIA EN COMPUTACION E INFORMATICA;2;2.4;2.1;2.1;1;1;6.7;2.14;2.1;2.1;R
134;*;*;*;*;33.14937767;70.04878971;36.89941204;1;1;[3 3 3 0 0 3 3 ] [];7;70.06545551;168.4253888;98.35993329;1;5;[2 3 3 3 3 3 2 2 2 2 3 3 3 3 ] [1 1 1 1 ];18;168.4587204;285.1182668;116.6595464;1;3;[3 0 0 0 0 0 2 ] [3 0 0 2 2 2 2 0 1 2 2 0 2 ];20;285.1516001;354.683179;69.5315789;1;2;[2 2 2 2 2 2 2 ] [1 1 3 1 ];11;354.7165105;473.0277579;118.3112474;3;3;[1 2 2 1 1 ] [1 1 3 3 3 3 3 ];12;473.0444011;566.5393878;93.4949867;1;3;[2 2 0 0 3 3 ] [1 1 1 1 3 3 3 3 ];14;1;0;0;0;0;0;1;0;0;1;1;1;82;533.2567047;17;15.51409277;7;4;4;2;2;INGENIERIA EN COMPUTACION E INFORMATICA;4.6;1;3.8;3.1;6.5;1;1;2.88;1;2.3;R
140;*;*;*;*;9.015916;26.371234;17.355318;1;2;[3 3 3 3 ] [1 2 1 ];7;26.378177;49.442161;23.063984;1;5;[2 3 3 3 3 3 ] [1 1 1 1 ];10;49.44918;208.945925;159.496745;3;29;[3 0 0 0 0 0 2 3 ] [0 0 0 3 0 0 2 2 2 2 0 ];19;208.952932;238.864623;29.911691;1;6;[2 2 0 0 2 2 ] [3 3 3 3 ];10;238.87169;257.400507;18.528817;1;4;[1 2 2 ] [3 3 3 3 3 ];8;257.407574;279.270137;21.862563;1;5;[2 2 0 0 ] [1 1 1 1 3 3 ];10;1;1;0;1;1;1;1;1;0;1;1;1;64;270.219118;51;12.19133072;5;2;3;2;1;INGENIERIA CIVIL INFORMATICA;4.2;5.6;1;3.6;1;1;7;2.9;1;2.3;R
155;*;*;*;*;87.469094;182.2301367;94.7610427;1;4;[0 0 3 3 3 1 ] [1 2 2 ];9;182.26347;270.3804403;88.1169703;1;4;[2 3 3 3 3 ] [1 1 1 1 2 ];10;270.3972143;372.504137;102.1069227;1;6;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;372.520807;425.0803633;52.5595563;1;2;[2 2 0 0 2 2 ] [3 3 3 3 ];10;425.0970333;465.5915897;40.4945564;1;2;[1 2 2 ] [3 3 3 3 3 ];8;465.6083197;573.1532777;107.544958;2;5;[2 2 0 0 ] [1 1 1 1 3 3 ];10;0;1;1;1;1;1;1;1;1;1;1;1;63;485.5840064;23;12.39428598;8;5;4;1;2;INGENIERIA CIVIL INDUSTRIAL;3.8;4.1;2.4;3.4;1;1;4;2.51;1.8;2.3;R
41;*;*;*;*;49.66652667;114.344495;64.67796833;1;1;[0 0 ] [2 2 2 2 2 2 ];8;114.361357;269.208584;154.847227;2;11;[2 3 3 3 3 3 ] [1 1 1 1 ];10;269.225229;608.6100733;339.3848443;3;24;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;608.6268653;720.8219443;112.195079;1;7;[2 2 0 0 2 2 1 ] [1 1 3 3 3 3 0 ];14;720.8386393;799.3787503;78.540111;1;3;[1 2 2 2 2 2 ] [3 3 ];8;799.3952953;857.2922467;57.8969514;1;4;[2 2 0 0 2 2 ] [1 1 1 1 ];10;0;1;1;0;1;1;1;1;1;1;1;1;66;807.542181;50;17.6331111;8;5;4;2;3;INGENIERIA INDUSTRIAL;6.6;4.1;3.7;4.8;1;1;2.7;3.07;1;2.4;R
222;*;*;*;*;53.75102167;165.887096;112.1360743;13;35;[0 3 3 3 0 3 3 ] [];7;165.903795;274.089279;108.185484;2;3;[2 3 3 3 3 3 ] [1 1 1 1 ];10;274.10596;696.5964313;422.4904713;4;8;[3 3 3 3 3 3 3 3 ] [3 0 0 2 0 0 3 3 3 3 1 1 1 1 1 1 ];24;696.6130643;757.6641753;61.051111;1;1;[2 2 2 2 2 2 2 ] [1 3 1 ];10;757.6808283;812.3650763;54.684248;1;1;[1 2 2 1 1 ] [1 1 3 3 3 3 3 ];12;812.3819013;917.1337583;104.751857;2;3;[2 2 0 0 2 2 0 0 ] [1 1 ];10;1;1;0;1;0;1;1;1;0;1;1;1;73;863.2992456;51;19.34774372;7;4;3;2;3;INGENIERIA EN COMPUTACION E INFORMATICA;6.8;5.5;2;4.8;1;1;1.9;2.97;1;2.4;R
225;*;*;*;*;16.76751767;127.6396507;110.872133;3;6;[0 0 0 3 1 ] [2 2 2 2 ];9;127.6562347;166.7915957;39.135361;2;7;[2 3 3 3 3 3 ] [1 1 1 1 ];10;166.8082027;433.4217447;266.613542;7;40;[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;433.4385277;462.656451;29.2179233;1;4;[2 2 0 0 2 2 ] [3 3 3 3 ];10;462.673291;485.591079;22.917788;1;3;[1 2 2 ] [3 3 3 3 3 ];8;485.607715;516.842658;31.234943;1;7;[2 2 0 0 2 2 ] [1 1 1 1 ];10;0;1;1;1;1;1;1;1;1;1;1;1;63;499.9916903;67;15.22932999;6;3;4;1;2;INGENIERIA CIVIL INFORMATICA;4.4;2.5;1;2.6;1;6;1;3.06;1;2.4;R
386;*;*;*;*;55.025692;124.2235713;69.1978793;1;8;[2 3 3 3 3 0 3 ] [1 2 ];9;124.2402593;168.9770663;44.736807;1;3;[2 3 3 3 3 3 0 0 0 0 ] [];10;168.9937813;217.2655417;48.2717604;1;30;[3 3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 2 1 2 2 2 2 2 1 1 1 1 3 3 3 1 1 1 2 ] [];34;217.2822577;263.036138;45.7538803;1;12;[2 2 2 0 0 0 2 0 0 2 2 2 2 ] [];13;263.05281;337.9032923;74.8504823;3;11;[1 1 1 1 2 2 2 2 2 2 2 0 0 ] [];13;337.9200043;374.5698353;36.649831;1;6;[0 0 0 0 2 2 2 2 2 2 3 3 0 0 ] [];14;0;1;0;0;0;0;1;1;0;1;1;1;93;319.4606403;70;18.45151888;11;7;5;4;3;INGENIERIA CIVIL INDUSTRIAL;1;2.4;1;1.5;1;7;4;3.03;1;2.4;R
157;*;*;*;*;26.90005333;66.53374667;39.63369334;1;3;[1 3 3 3 ] [2 2 1 1 1 ];9;66.55047867;142.466432;75.91595333;2;5;[2 3 3 3 3 3 ] [1 1 1 1 ];10;142.483026;226.316908;83.833882;1;8;[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ];16;226.333256;300.63316;74.299904;1;4;[2 2 0 0 2 2 1 ] [1 1 3 3 3 3 0 ];14;300.649859;353.5828887;52.9330297;1;3;[1 2 2 1 1 1 ] [1 1 3 3 3 3 3 ];13;353.5995127;521.082484;167.4829713;4;4;[0 0 2 ] [1 1 3 3 1 1 3 ];10;0;1;1;0;0;1;1;1;1;1;1;1;72;494.0994337;27;14.15560878;5;3;2;2;1;INGENIERIA EN COMPUTACION E INFORMATICA;6.4;5.9;2.9;5.1;1;1;1.6;3.09;1;2.5;R
